,isin,bbticker,script_name,start_date,end_date
0,INE499A01024,DCMS IN Equity,DCMSHRIRAM,1900-01-01,9999-12-31
1,INE500A01029,DCW IN Equity,DCW,1900-01-01,9999-12-31
2,INE137G01027,DECH IN Equity,DECH,1900-01-01,2024-08-01
3,INE501A01019,DFPC IN Equity,DEEPAKFERT,1900-01-01,9999-12-31
4,INE274G01010,DHANI IN Equity,DHANI,1900-01-01,9999-12-31
5,INE353G01020,DISH IN Equity,DISH,1900-01-01,2024-08-01
6,INE361B01024,DIVI IN Equity,DIVISLAB,1900-01-01,9999-12-31
7,INE271C01023,DLFU IN Equity,DLF,1900-01-01,9999-12-31
8,INE668D01028,DNI IN Equity,DONEAR,1900-01-01,9999-12-31
9,INE089A01023,DRRD IN Equity,DRREDDY,1900-01-01,9999-12-31
10,INE340A01012,BCORP IN Equity,BIRLACORPN,1900-01-01,9999-12-31
11,INE032A01023,BD IN Equity,BOMDYEING,1900-01-01,9999-12-31
12,INE233B01017,BDE IN Equity,BLUEDART,1900-01-01,9999-12-31
13,INE258A01016,BEML IN Equity,BEML,1900-01-01,9999-12-31
14,INE922A01025,BEPL IN Equity,BEPL,1900-01-01,9999-12-31
15,INE397D01024,BHARTI IN Equity,BHARTIARTL,1900-01-01,9999-12-31
16,INE263A01024,BHE IN Equity,BEL,1900-01-01,9999-12-31
17,INE257A01026,BHEL IN Equity,BHEL,1900-01-01,9999-12-31
18,INE465A01025,BHFC IN Equity,BHARATFORG,1900-01-01,9999-12-31
19,INE294A01037,BILT IN Equity,BILT,1900-01-01,2024-08-01
20,INE530B01024,IIFL IN Equity,IIFL,1900-01-01,9999-12-31
21,INE009A01021,INFO IN Equity,INFY,1900-01-01,9999-12-31
22,INE663F01024,INFOE IN Equity,NAUKRI,1900-01-01,9999-12-31
23,INE177A01018,INGR IN Equity,INGERRAND,1900-01-01,9999-12-31
24,INE312H01016,INOL IN Equity,INOL,1900-01-01,2024-08-01
25,INE565A01014,IOB IN Equity,IOB,1900-01-01,9999-12-31
26,INE242A01010,IOCL IN Equity,IOC,1900-01-01,9999-12-31
27,INE571A01038,IPCA IN Equity,IPCALAB,1900-01-01,9999-12-31
28,INE681B01017,IPMC IN Equity,INDRAMEDCO,1900-01-01,9999-12-31
29,INE821I01022,IRB IN Equity,IRB,1900-01-01,9999-12-31
30,INE364A01020,JTI IN Equity,JAYSREETEA,1900-01-01,9999-12-31
31,INE700A01033,JUBLPHAR IN Equity,JUBLPHARMA,1900-01-01,9999-12-31
32,INE197A01024,JYS IN Equity,JYOTISTRUC,1900-01-01,9999-12-31
33,INE350H01032,KASH IN Equity,BLKASHYAP,1900-01-01,9999-12-31
34,INE614B01018,KBL IN Equity,KTKBANK,1900-01-01,9999-12-31
35,INE805C01028,KCPL IN Equity,KCP,1900-01-01,9999-12-31
36,INE389H01022,KECI IN Equity,KEC,1900-01-01,9999-12-31
37,INE080B01012,KFL IN Equity,KOHINOOR,1900-01-01,9999-12-31
38,INE217B01036,KJC IN Equity,KAJARIACER,1900-01-01,9999-12-31
39,INE732A01036,KKB IN Equity,KIRLOSBROS,1900-01-01,9999-12-31
40,INE376G01013,BIOS IN Equity,BIOCON,1900-01-01,9999-12-31
41,INE917I01010,BJAUT IN Equity,BAJAJ-AUTO,1900-01-01,9999-12-31
42,INE918I01026,BJFIN IN Equity,BAJAJFINSV,1900-01-01,9999-12-31
43,INE306A01021,BJH IN Equity,BAJAJHIND,1900-01-01,9999-12-31
44,INE118A01012,BJHI IN Equity,BAJAJHLDNG,1900-01-01,9999-12-31
45,INE164A01016,BLCL IN Equity,BALMLAWRIE,1900-01-01,9999-12-31
46,INE794B01026,BLJT IN Equity,BALAJITELE,1900-01-01,9999-12-31
47,INE472A01039,BLSTR IN Equity,BLUESTARCO,1900-01-01,9999-12-31
48,INE459A01010,BNRI IN Equity,BANARISUG,1900-01-01,9999-12-31
49,INE028A01039,BOB IN Equity,BANKBARODA,1900-01-01,9999-12-31
50,INE910H01017,CAIR IN Equity,CAIR,1900-01-01,2024-08-01
51,INE477A01020,CANF IN Equity,CANFINHOME,1900-01-01,9999-12-31
52,INE068D01021,CAST IN Equity,CAST,1900-01-01,2024-08-01
53,INE476A01022,CBK IN Equity,CANBK,1900-01-01,9999-12-31
54,INE111A01025,CCRI IN Equity,CONCOR,1900-01-01,9999-12-31
55,INE025A01027,CDFH IN Equity,CONSOFINVT,1900-01-01,9999-12-31
56,INE485A01015,CENK IN Equity,CENTENKA,1900-01-01,9999-12-31
57,INE055A01016,CENT IN Equity,CENTURYTEX,1900-01-01,9999-12-31
58,INE486A01021,CESC IN Equity,CESC,1900-01-01,9999-12-31
59,INE067A01029,CGPOWER IN Equity,CGPOWER,1900-01-01,9999-12-31
60,INE011A01019,ESOIL IN Equity,ESOIL,1900-01-01,2024-08-01
61,INE282A01024,ESRS IN Equity,ESRS,1900-01-01,2024-08-01
62,INE295A01018,EVI IN Equity,EVERESTIND,1900-01-01,9999-12-31
63,INE302A01020,EXID IN Equity,EXIDEIND,1900-01-01,9999-12-31
64,INE171A01029,FB IN Equity,FEDERALBNK,1900-01-01,9999-12-31
65,INE258B01022,FDCLT IN Equity,FDC,1900-01-01,9999-12-31
66,INE623B01027,FEL IN Equity,FEL,1900-01-01,9999-12-31
67,INE575G01010,FKOL IN Equity,FKOL,1900-01-01,2024-08-01
68,INE492B01019,FLSG IN Equity,FLSG,1900-01-01,2024-08-01
69,INE529A01010,FMGI IN Equity,FMGOETZE,1900-01-01,9999-12-31
70,INE785C01048,LANCI IN Equity,LANCI,1900-01-01,2024-08-01
71,INE115A01026,LICHF IN Equity,LICHSGFIN,1900-01-01,9999-12-31
72,INE473A01011,LIIL IN Equity,LINDEINDIA,1900-01-01,9999-12-31
73,INE992B01026,LKEF IN Equity,LKEF,1900-01-01,2024-08-01
74,INE269B01029,LMW IN Equity,LAXMIMACH,1900-01-01,9999-12-31
