bbticker,isin,script_name,start_date,end_date
ABREL IN Equity,INE055A01016,ABREL,2024-11-01,9999-12-31
MAHLIFE IN Equity,INE813A01018,MAHLIFE,2024-11-01,9999-12-31
VEEDOL IN Equity,INE484C01030,TIDEWATER,2024-11-01,9999-12-31
RAYMONDL IN Equity,INE02ID01020,RAYMONDLSL,2024-11-01,9999-12-31
SANOFICO IN Equity,INE0UOS01011,SANOFICONR,2024-11-01,9999-12-31
INDGN IN Equity,INE065X01017,INDGN,2024-11-01,9999-12-31
GODIGIT IN Equity,INE03JT01014,GODIGIT,2024-11-01,9999-12-31
JYOTICNC IN Equity,INE980O01024,JYOTICNC,2024-11-01,9999-12-31
BHARTIHE IN Equity,INE343G01021,BHARTIHEXA,2024-11-01,9999-12-31
IREDA IN Equity,INE202E01016,IREDA,2024-11-01,9999-12-31
INOXINDI IN Equity,INE616N01034,INOXINDIA,2024-11-01,9999-12-31
AADHARHF IN Equity,INE883F01010,AADHARHFC,2024-11-01,9999-12-31
NETWEB IN Equity,INE0NT901020,NETWEB,2024-11-01,9999-12-31
NEWGEN IN Equity,INE619B01017,NEWGEN,2024-11-01,9999-12-31
PTCIL IN Equity,INE596F01018,PTCIL,2024-11-01,9999-12-31
TBOTEK IN Equity,INE673O01025,TBOTEK,2024-11-01,9999-12-31
AKUMS IN Equity,INE09XN01023,AKUMS,2024-11-01,9999-12-31
EMCURE IN Equity,INE168P01015,EMCURE,2024-11-01,9999-12-31
