,pulse,long_short,model,model_type
0,dividend_yield,0.3701549434390381,value,independent
0,earning_yield,0.25969011312192375,value,independent
0,earning_yield_estimate,0.3701549434390381,value,independent
0,one_month_momentum_vol_adjusted,0.25,momentum,independent
0,abs_price_momentum_one_year,0.25,momentum,independent
0,momentum_100,0.25,momentum,independent
0,momentum_500,0.25,momentum,independent
0,asset_turnover_ratio,0.22410883545992658,quality,independent
0,return_on_invested_capital,0.22410883545992658,quality,independent
0,free_cash_flows_to_invested_capital,0.22410883545992658,quality,independent
0,inventory_turnover,0.13018811335998035,quality,independent
0,net_profit_margin,0.10743317006800947,quality,independent
0,roe_coefficient_of_variation,0.09005221019223049,quality,independent
0,volatility_one_year,0.25146118761110153,volatility,independent
0,volatility_one_quarter,0.25146118761110153,volatility,independent
0,volatility_two_year,0.24561643716669543,volatility,independent
0,stability_one_year,0.25146118761110153,volatility,independent
0,free_cash_flows_pct_change,0.2536961579947226,growth,independent
0,cash_flow_trend_line,0.1647771073102646,growth,independent
0,dividend_yield_cagr,0.24332359218075408,growth,independent
0,revenue_growth,0.15725281314254794,growth,independent
0,earning_to_price_growth_two_year_estimate,0.17772288828314678,growth,independent
0,net_external_financing,0.252210433852023,leverage,independent
0,cash_flow_debt_coverage,0.252210433852023,leverage,independent
0,percentage_debt_change_one_year,0.1248768999742578,leverage,independent
0,ebitda_interest_coverage,0.252210433852023,leverage,independent
0,degree_of_financial_leverage,0.05402559151684393,leverage,independent
0,debt_to_assets,0.06446620695282917,leverage,independent
0,logged_assets,1.0,size,independent
0,rating_revision_100d,0.16979048845534792,estimates,independent
0,revenue_growth_estimate,0.058793573246970945,estimates,independent
0,eps_estimates_range,0.012229684696817645,estimates,independent
0,rating_revision_20d,0.22278104889201703,estimates,independent
0,eps_revisions_one_qtr,0.3151730130678387,estimates,independent
0,eps_revisions_two_qtr,0.08424682930742387,estimates,independent
0,eps_revisions_one_year,0.05703637958177649,estimates,independent
0,eps_revision_dispersion_one_year,0.07994898275180758,estimates,independent
